Date;Time of day;Financial income for balacing energy[Euro];Financial expenses for balancing energy[Euro];Costs network security-measures[Euro];Costs countertrading[Euro]
Jan 1, 2015;12:00 AM;16,174,027.47;66,739,449.87;92,096,650.94;349,180.94
Feb 1, 2015;12:00 AM;9,318,801.17;33,129,388.77;53,863,601.13;305,033.18
Mar 1, 2015;12:00 AM;25,765,259.67;55,994,836.14;115,006,365.05;556,570.4
Apr 1, 2015;12:00 AM;18,405,234.7;46,996,711.2;49,056,360.99;467,763.19
May 1, 2015;12:00 AM;21,734,401.72;48,568,445.77;45,747,135.66;777,136
Jun 1, 2015;12:00 AM;14,848,443.73;38,395,745.9;23,597,256.52;517,122.54
Jul 1, 2015;12:00 AM;33,121,371.36;52,934,103.33;72,931,799.11;1,721,399.45
Aug 1, 2015;12:00 AM;16,240,170.49;38,339,907.92;33,974,802.81;1,473,818.7
Sep 1, 2015;12:00 AM;14,065,679.82;31,722,428.45;63,542,094.31;2,608,962.87
Oct 1, 2015;12:00 AM;16,191,037.69;33,722,005.21;31,689,127.27;3,800,588.95
Nov 1, 2015;12:00 AM;15,386,366.58;36,562,450.96;149,832,577.24;2,389,842.39
Dec 1, 2015;12:00 AM;11,636,728.79;51,061,523.86;189,571,128.05;7,906,243.67
